id,state_id,pizza_consumption,pizza_store_per_10000_people,p_year_id
1,1,777,1.61,8
2,2,149,2.04,8
3,3,1198,1.83,8
4,4,727,2.47,8
5,5,7051,1.85,8
6,6,1140,2.2,8
7,7,1236,3.44,8
8,8,319,3.48,8
9,9,4722,2.44,8
10,10,1753,1.77,8
11,11,131,0.94,8
12,12,367,2.3,8
13,13,3246,2.52,8
14,14,2026,3.1,8
15,15,1122,3.65,8
16,16,733,2.54,8
17,17,1118,2.55,8
18,18,723,1.57,8
19,19,378,2.84,8
20,20,1384,2.35,8
21,21,2426,3.65,8
22,22,2998,3.03,8
23,23,1335,2.48,8
24,24,513,1.72,8
25,25,1522,2.53,8
26,26,267,2.66,8
27,27,465,2.51,8
28,28,669,2.42,8
29,29,515,3.9,8
30,30,2987,3.37,8
31,31,352,1.69,8
32,32,5776,2.95,8
33,33,2102,2.16,8
34,34,197,2.82,8
35,35,3975,3.44,8
36,36,860,2.25,8
37,37,898,2.3,8
38,38,4601,3.6,8
39,39,373,3.55,8
40,40,1010,2.14,8
41,41,228,2.74,8
42,42,1413,2.19,8
43,43,4862,1.87,8
44,44,552,1.93,8
45,45,173,2.76,8
46,46,1828,2.23,8
47,47,1361,1.97,8
48,48,139,2.25,8
49,49,584,3.15,8
50,50,1308,2.28,8
51,51,134,2.32,8
52,1,766,1.58,7
53,2,154,2.09,7
54,3,1160,1.72,7
55,4,714,2.41,7
56,5,6930,1.79,7
57,6,1085,2.03,7
58,7,1324,3.68,7
59,8,325,3.48,7
60,9,4558,2.29,7
61,10,1653,1.64,7
62,11,150,1.06,7
63,12,384,2.35,7
64,13,3118,2.42,7
65,14,1994,3.01,7
66,15,1131,3.64,7
67,16,731,2.52,7
68,17,1026,2.32,7
69,18,690,1.5,7
70,19,409,3.07,7
71,20,1359,2.27,7
72,21,2434,3.61,7
73,22,2004,2.92,7
74,23,1362,2.5,7
75,24,459,1.53,7
76,25,1534,2.53,7
77,26,267,2.61,7
78,27,426,2.27,7
